TIMESTAMP,U_[R350-B],V_[R350-B],W_[R350-B],T_SONIC_[R350-B],SA_DIAG_TYPE_[R350-B],SA_DIAG_VAL_[R350-B],INC_XY_[R350-B],DATA_SIZE_[IRGA75-A],STATUS_CODE_[IRGA75-A],GA_DIAG_CODE_[IRGA75-A],AGC_[IRGA75-A],H2O_CONC_[IRGA75-A],CO2_CONC_[IRGA75-A],T_BOX_[IRGA75-A],PRESS_BOX_[IRGA75-A],COOLER_V_[IRGA75-A],DATA_SIZE_[QCL-C2],STATUS_CODE_[QCL-C2],CH4_DRY_[QCL-C2],EMPTY_1_[QCL-C2],EMPTY_2_[QCL-C2],H2O_DRY_[QCL-C2],T_CELL_[QCL-C2],PRESS_CELL_[QCL-C2],STATUS_WORD_[QCL-C2],VICI_[QCL-C2],index,U_[R350-B]_TURB,V_[R350-B]_TURB,W_[R350-B]_TURB,CH4_DRY_[QCL-C2]_TURB
2023-05-12 17:30:00.000,-0.31,0.04,0.14,289.21,3.0,0.0,0.0,16.0,0,251.0,68.75,16748.917,20.5151,10.28,831.0,1.288,34.0,96.0,2000.658,0.0,0.0,9178909.0,296.605,40.69531960832,5.036,0.0,2023-05-12 17:30:00.000,0.13451522946721145,-0.030578499519856497,0.10178225677353714,-4.231196233333321
2023-05-12 17:30:00.050,-0.35,0.06,0.15,289.21,4.0,0.0,0.0,16.0,0,251.0,68.75,16749.179,20.5013,10.25,831.0,1.2885,34.0,97.0,2000.658,0.0,0.0,9178909.0,296.605,40.69531960832,5.036,0.0,2023-05-12 17:30:00.050,0.09016341086842405,-0.020063772383106682,0.10651054401311419,-4.231196233333321
2023-05-12 17:30:00.100,-0.36,0.06,0.15,289.22,5.0,0.0,0.0,16.0,0,251.0,68.75,16749.218,20.499,10.28,831.0,1.2885,34.0,96.0,2013.666,0.0,0.0,9186762.0,296.605,40.69531960832,5.036,0.0,2023-05-12 17:30:00.100,0.08048837877185633,-0.02230759646107869,0.1053447792694808,8.776803766666717
2023-05-12 17:30:00.150,-0.35,0.04,0.17,289.22,6.0,1.0,0.0,16.0,0,251.0,68.75,16749.022,20.4966,10.28,831.0,1.288,34.0,97.0,2013.666,0.0,0.0,9186762.0,296.605,40.69531960832,5.036,0.0,2023-05-12 17:30:00.150,0.09222629654192466,-0.03955379583174451,0.12690376564849132,8.776803766666717
2023-05-12 17:30:00.200,-0.34,0.05,0.18,289.23,1.0,0.0,0.0,16.0,0,251.0,68.75,16748.937,20.4999,10.28,831.0,1.287,34.0,97.0,2013.666,0.0,0.0,9186762.0,296.605,40.69531960832,5.036,0.0,2023-05-12 17:30:00.200,0.09847734944239789,-0.027564960029453595,0.13772929814076126,8.776803766666717
2023-05-12 17:30:00.250,-0.36,0.05,0.17,289.25,2.0,40.0,0.0,16.0,0,251.0,68.75,16748.756,20.5038,10.260000000000003,831.0,1.2895,34.0,96.0,2003.753,0.0,0.0,9196573.0,296.603,40.68598704256,5.036,0.0,2023-05-12 17:30:00.250,0.0803235534289346,-0.0320526081853976,0.12546957937033196,-1.136196233333294
2023-05-12 17:30:00.300,-0.37,0.08,0.17,289.29,3.0,0.0,0.0,16.0,0,251.0,68.75,16748.368,20.5035,10.260000000000003,831.0,1.2895,34.0,97.0,2003.753,0.0,0.0,9196573.0,296.603,40.68598704256,5.036,0.0,2023-05-12 17:30:00.300,0.06396538828309978,-0.005061397090412871,0.12349855002312059,-1.136196233333294
2023-05-12 17:30:00.350,-0.37,0.09,0.17,289.31,4.0,0.0,0.0,16.0,0,251.0,68.75,16748.222,20.5058,10.260000000000003,831.0,1.2885,34.0,97.0,2003.753,0.0,0.0,9196573.0,296.603,40.68598704256,5.036,0.0,2023-05-12 17:30:00.350,0.06173767726667739,0.004683614633906037,0.1232301284885946,-1.136196233333294
2023-05-12 17:30:00.400,-0.39,0.09,0.19,289.3,5.0,0.0,0.0,16.0,0,251.0,68.75,16747.878,20.5016,10.260000000000003,831.0,1.2885,34.0,97.0,2003.753,0.0,0.0,9196573.0,296.603,40.68598704256,5.036,0.0,2023-05-12 17:30:00.400,0.039995076714198,0.00019596647796201881,0.14075497756765293,-1.136196233333294
2023-05-12 17:30:00.450,-0.42,0.08,0.19,289.32,6.0,1.0,0.0,16.0,0,251.0,68.75,16747.697,20.5007,10.28,831.0,1.291,34.0,96.0,2002.854,0.0,0.0,9202220.0,296.604,40.68598704256,5.036,0.0,2023-05-12 17:30:00.450,0.013197691440917425,-0.016280517480272903,0.13752610487127878,-2.0351962333331812
